site,setting,plot_type,date,species,cvr,median_height,max_height,reproduction,n_inds,n_leaf,w_weight,d_weight,n_leaf_image,area_sum,leaf_area,SLA,LDMC
K24,roslin,b,2020-08-25,Vaccinium myrtillus,7,7,15,2,3,6,0.0606,0.0249,6,3.336,0.5559999999999999,133.97590361445782,0.41089108910891087
K24,roslin,c,2020-08-25,Betula nana,15,NA,NA,1,3,6,0.154,0.0628,6,7.4959999999999996,1.2493333333333332,119.36305732484077,0.40779220779220776
K24,roslin,c,2020-08-25,Empetrum nigrum,5,NA,NA,3,3,30,0.0509,0.0241,30,1.554,0.0518,64.48132780082987,0.47347740667976423
K24,roslin,c,2020-08-25,Vaccinium uliginosum,3,NA,NA,1,3,6,0.1099,0.0424,6,5.492,0.9153333333333333,129.52830188679246,0.38580527752502275
K24,roslin,c,2020-08-25,Vaccinium vitis-idaea,2,NA,NA,2,3,6,0.111,0.0482,6,3.623,0.6038333333333333,75.16597510373444,0.43423423423423424
K24,roslin,c,2020-08-25,Anthoxanthum nipponicum,0.25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,c,2020-08-25,Calamagrostis lapponica,0.25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,c,2020-08-25,Avenella flexuosa,0.25,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,c,2020-08-25,Hieracium alpinum,0.25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,c,2020-08-25,Juncus trifidus,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,c,2020-08-25,Linnaea borealis,0.25,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,c,2020-08-25,Pedicularis lapponica,0.25,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K24,roslin,c,2020-08-25,Phyllodoce caerulea,4,NA,NA,4,3,24,0.0646,0.0304,24,2.605,0.10854166666666666,85.6907894736842,0.4705882352941176
K24,roslin,c,2020-08-25,Vaccinium myrtillus,8,NA,NA,2,3,6,0.0606,0.0249,6,3.336,0.5559999999999999,133.97590361445782,0.41089108910891087
K23,roslin,a,2020-08-26,Empetrum nigrum,12,3,7,3,3,30,0.046,0.0223,30,1.431,0.0477,64.17040358744394,0.4847826086956522
K23,roslin,a,2020-08-26,Vaccinium vitis-idaea,2,3,3,2,3,6,0.1186,0.0604,6,3.045,0.5075,50.41390728476821,0.509274873524452
K23,roslin,a,2020-08-26,Vaccinium myrtillus,4,4,5,1,3,6,0.0534,0.0234,6,2.99,0.49833333333333335,127.77777777777779,0.4382022471910112
K23,roslin,b,2020-08-26,Betula nana,6,11,24,1,3,6,0.1163,0.0504,6,5.774,0.9623333333333334,114.56349206349206,0.43336199484092863
K23,roslin,b,2020-08-26,Empetrum nigrum,20,4,8,3,3,30,0.046,0.0223,30,1.431,0.0477,64.17040358744394,0.4847826086956522
K23,roslin,b,2020-08-26,Vaccinium vitis-idaea,3,3,7,2,3,6,0.1186,0.0604,6,3.045,0.5075,50.41390728476821,0.509274873524452
K23,roslin,b,2020-08-26,Phyllodoce caerulea,2,4,12,3,3,24,0.0381,0.0197,24,1.607,0.06695833333333333,81.57360406091371,0.5170603674540681
K23,roslin,b,2020-08-26,Vaccinium myrtillus,2,4,5,1,3,6,0.0534,0.0234,6,2.99,0.49833333333333335,127.77777777777779,0.4382022471910112
K23,roslin,c,2020-08-26,Betula nana,8,NA,NA,1,3,6,0.1163,0.0504,6,5.774,0.9623333333333334,114.56349206349206,0.43336199484092863
K23,roslin,c,2020-08-26,Empetrum nigrum,20,NA,NA,3,3,30,0.046,0.0223,30,1.431,0.0477,64.17040358744394,0.4847826086956522
K23,roslin,c,2020-08-26,Vaccinium vitis-idaea,3,NA,NA,2,3,6,0.1186,0.0604,6,3.045,0.5075,50.41390728476821,0.509274873524452
K23,roslin,c,2020-08-26,Spinulum annotinum,0.25,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K23,roslin,c,2020-08-26,Phyllodoce caerulea,3,NA,NA,3,3,24,0.0381,0.0197,24,1.607,0.06695833333333333,81.57360406091371,0.5170603674540681
K23,roslin,c,2020-08-26,Vaccinium myrtillus,2,NA,NA,1,3,6,0.0534,0.0234,6,2.99,0.49833333333333335,127.77777777777779,0.4382022471910112
K12,roslin,a,2020-08-25,Betula nana,5,3,4,1,3,6,0.1155,0.0541,6,5.231,0.8718333333333333,96.69131238447319,0.46839826839826837
K12,roslin,a,2020-08-25,Empetrum nigrum,25,3,6,3,4,40,0.0531,0.0262,41,1.811,0.045274999999999996,69.12213740458014,0.4934086629001883
K12,roslin,a,2020-08-25,Vaccinium vitis-idaea,4,2,4,1,3,6,0.0755,0.0362,6,2.318,0.38633333333333336,64.03314917127071,0.47947019867549673
K12,roslin,a,2020-08-25,Calamagrostis lapponica,0.5,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K12,roslin,a,2020-08-25,Kalmia procumbens,3,1,1,2,2,20,0.0631,0.0353,20,1.498,0.0749,42.436260623229465,0.5594294770206022
K12,roslin,b,2020-08-25,Betula nana,7,9,13,1,3,6,0.1155,0.0541,6,5.231,0.8718333333333333,96.69131238447319,0.46839826839826837
K12,roslin,b,2020-08-25,Empetrum nigrum,30,4,7,3,4,40,0.0531,0.0262,41,1.811,0.045274999999999996,69.12213740458014,0.4934086629001883
K12,roslin,b,2020-08-25,Vaccinium vitis-idaea,4,3,5,1,3,6,0.0755,0.0362,6,2.318,0.38633333333333336,64.03314917127071,0.47947019867549673
K12,roslin,b,2020-08-25,Calamagrostis lapponica,0.5,6,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K12,roslin,b,2020-08-25,Kalmia procumbens,2,1,2,2,2,20,0.0631,0.0353,20,1.498,0.0749,42.436260623229465,0.5594294770206022
K12,roslin,c,2020-08-25,Betula nana,7,NA,NA,1,3,6,0.1155,0.0541,6,5.231,0.8718333333333333,96.69131238447319,0.46839826839826837
K12,roslin,c,2020-08-25,Empetrum nigrum,30,NA,NA,3,4,40,0.0531,0.0262,41,1.811,0.045274999999999996,69.12213740458014,0.4934086629001883
K12,roslin,c,2020-08-25,Vaccinium vitis-idaea,5,NA,NA,1,3,6,0.0755,0.0362,6,2.318,0.38633333333333336,64.03314917127071,0.47947019867549673
K12,roslin,c,2020-08-25,Calamagrostis lapponica,0.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K12,roslin,c,2020-08-25,Juncus trifidus,0.25,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K12,roslin,c,2020-08-25,Kalmia procumbens,1,NA,NA,2,2,20,0.0631,0.0353,20,1.498,0.0749,42.436260623229465,0.5594294770206022
K11,roslin,a,2020-08-25,Calamagrostis lapponica,10,13,31,5,3,3,0.1374,0.0502,3,8.196,2.7319999999999998,163.26693227091633,0.36535662299854443
K11,roslin,a,2020-08-25,Carex bigelowii,5,4,7,3,3,3,0.1151,0.0439,3,5.524,1.8413333333333333,125.83143507972665,0.3814074717636838
K11,roslin,b,2020-08-25,Betula nana,3,5,11,1,3,6,0.1261,0.0553,6,6.004,1.0006666666666666,108.57142857142856,0.4385408406026963
K11,roslin,b,2020-08-25,Empetrum nigrum,0.5,2,4,2,3,30,0.0562,0.0285,32,1.7489999999999999,0.0583,61.368421052631575,0.5071174377224199
K11,roslin,b,2020-08-25,Vaccinium vitis-idaea,3,3,6,1,3,6,0.126,0.055,6,3.386,0.5643333333333334,61.56363636363636,0.4365079365079365
K11,roslin,b,2020-08-25,Calamagrostis lapponica,3,8,31,5,3,3,0.1374,0.0502,3,8.196,2.7319999999999998,163.26693227091633,0.36535662299854443
K11,roslin,b,2020-08-25,Carex bigelowii,5,6,9,3,3,3,0.1151,0.0439,3,5.524,1.8413333333333333,125.83143507972665,0.3814074717636838
K11,roslin,b,2020-08-25,Kalmia procumbens,0.5,2,2,3,3,24,0.0902,0.0454,25,2.137,0.08904166666666667,47.070484581497794,0.5033259423503326
K11,roslin,c,2020-08-25,Betula nana,5,NA,NA,1,3,6,0.1261,0.0553,6,6.004,1.0006666666666666,108.57142857142856,0.4385408406026963
K11,roslin,c,2020-08-25,Empetrum nigrum,8,NA,NA,2,3,30,0.0562,0.0285,32,1.7489999999999999,0.0583,61.368421052631575,0.5071174377224199
K11,roslin,c,2020-08-25,Vaccinium vitis-idaea,2,NA,NA,1,3,6,0.126,0.055,6,3.386,0.5643333333333334,61.56363636363636,0.4365079365079365
K11,roslin,c,2020-08-25,Calamagrostis lapponica,3,NA,NA,5,3,3,0.1374,0.0502,3,8.196,2.7319999999999998,163.26693227091633,0.36535662299854443
K11,roslin,c,2020-08-25,Carex bigelowii,7,NA,NA,3,3,3,0.1151,0.0439,3,5.524,1.8413333333333333,125.83143507972665,0.3814074717636838
K11,roslin,c,2020-08-25,Deschampsia cespitosa,0.25,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
K11,roslin,c,2020-08-25,Juncus trifidus,0.25,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K11,roslin,c,2020-08-25,Kalmia procumbens,2,NA,NA,3,3,24,0.0902,0.0454,25,2.137,0.08904166666666667,47.070484581497794,0.5033259423503326
K10,roslin,a,2020-08-19,Empetrum nigrum,20,3,4,3,3,30,0.0373,0.0177,29,1.181,0.03936666666666667,66.72316384180792,0.47453083109919575
K10,roslin,a,2020-08-19,Vaccinium uliginosum,10,4,8,3,3,6,0.1069,0.0411,6,4.473,0.7454999999999999,108.83211678832117,0.3844714686623012
K10,roslin,a,2020-08-19,Vaccinium vitis-idaea,10,2,3,2,3,6,0.0891,0.0401,6,2.392,0.39866666666666667,59.65087281795511,0.45005611672278334
K10,roslin,a,2020-08-19,Arctous alpina,2,2,3,2,2,6,0.1072,0.0421,6,5.013999999999999,0.8356666666666666,119.09738717339667,0.3927238805970149
K10,roslin,b,2020-08-19,Betula nana,0.5,8,8,3,3,6,0.1069,0.0442,6,4.863,0.8105000000000001,110.02262443438914,0.4134705332086062
K10,roslin,b,2020-08-19,Empetrum nigrum,25,3,6,3,3,30,0.0373,0.0177,29,1.181,0.03936666666666667,66.72316384180792,0.47453083109919575
K10,roslin,b,2020-08-19,Festuca ovina,0.5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K10,roslin,b,2020-08-19,Vaccinium uliginosum,4,4,8,3,3,6,0.1069,0.0411,6,4.473,0.7454999999999999,108.83211678832117,0.3844714686623012
K10,roslin,b,2020-08-19,Vaccinium vitis-idaea,6,3,5,2,3,6,0.0891,0.0401,6,2.392,0.39866666666666667,59.65087281795511,0.45005611672278334
K10,roslin,b,2020-08-19,Arctous alpina,5,2,3,2,2,6,0.1072,0.0421,6,5.013999999999999,0.8356666666666666,119.09738717339667,0.3927238805970149
K10,roslin,b,2020-08-19,Juncus trifidus,0.25,7,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
K10,roslin,b,2020-08-19,Pedicularis lapponica,0.25,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K10,roslin,c,2020-08-19,Betula nana,0.5,NA,NA,3,3,6,0.1069,0.0442,6,4.863,0.8105000000000001,110.02262443438914,0.4134705332086062
K10,roslin,c,2020-08-19,Empetrum nigrum,25,NA,NA,3,3,30,0.0373,0.0177,29,1.181,0.03936666666666667,66.72316384180792,0.47453083109919575
K10,roslin,c,2020-08-19,Festuca ovina,0.5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K10,roslin,c,2020-08-19,Vaccinium uliginosum,4,NA,NA,3,3,6,0.1069,0.0411,6,4.473,0.7454999999999999,108.83211678832117,0.3844714686623012
K10,roslin,c,2020-08-19,Vaccinium vitis-idaea,6,NA,NA,2,3,6,0.0891,0.0401,6,2.392,0.39866666666666667,59.65087281795511,0.45005611672278334
K10,roslin,c,2020-08-19,Arctous alpina,3,NA,NA,2,2,6,0.1072,0.0421,6,5.013999999999999,0.8356666666666666,119.09738717339667,0.3927238805970149
K10,roslin,c,2020-08-19,Juncus trifidus,0.5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
K10,roslin,c,2020-08-19,Kalmia procumbens,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K10,roslin,c,2020-08-19,Pedicularis lapponica,0.25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,a,2020-08-19,Betula nana,6,9,12,1,3,6,0.1306,0.0612,6,5.594,0.9323333333333333,91.40522875816994,0.4686064318529862
K09,roslin,a,2020-08-19,Empetrum nigrum,30,5,8,2,2,30,0.0521,0.0255,30,1.533,0.0511,60.11764705882353,0.4894433781190019
K09,roslin,a,2020-08-18,Vaccinium uliginosum,2,8,8,2,3,6,0.1388,0.0564,6,6.192,1.032,109.7872340425532,0.4063400576368876
K09,roslin,a,2020-08-18,Vaccinium vitis-idaea,3,4,4,1,4,8,0.1373,0.0671,8,3.899,0.487375,58.107302533532035,0.4887108521485798
K09,roslin,a,2020-08-18,Juncus trifidus,3,10,11,5,3,6,0.0291,0.0105,4,1.719,0.28650000000000003,163.71428571428572,0.36082474226804123
K09,roslin,a,2020-08-18,Linnaea borealis,0.5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,a,2020-08-19,Phyllodoce caerulea,2,4,4,3,3,30,0.0527,0.0262,31,2.461,0.08203333333333333,93.93129770992365,0.49715370018975336
K09,roslin,b,2020-08-19,Betula nana,6,12,25,1,3,6,0.1306,0.0612,6,5.594,0.9323333333333333,91.40522875816994,0.4686064318529862
K09,roslin,b,2020-08-19,Empetrum nigrum,35,6,9,2,2,30,0.0521,0.0255,30,1.533,0.0511,60.11764705882353,0.4894433781190019
K09,roslin,b,2020-08-18,Festuca ovina,0.25,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,b,2020-08-18,Vaccinium uliginosum,3,8,12,2,3,6,0.1388,0.0564,6,6.192,1.032,109.7872340425532,0.4063400576368876
K09,roslin,b,2020-08-18,Vaccinium vitis-idaea,2,4,6,1,4,8,0.1373,0.0671,8,3.899,0.487375,58.107302533532035,0.4887108521485798
K09,roslin,b,2020-08-18,Anthoxanthum nipponicum,0.5,7,9,1,3,3,0.1468,0.0515,4,9.517999999999999,3.1726666666666663,184.8155339805825,0.350817438692098
K09,roslin,b,2020-08-18,Juncus trifidus,2,10,15,5,3,6,0.0291,0.0105,4,1.719,0.28650000000000003,163.71428571428572,0.36082474226804123
K09,roslin,b,2020-08-18,Linnaea borealis,0.25,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,b,2020-08-18,Pedicularis lapponica,0.25,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,b,2020-08-19,Phyllodoce caerulea,1,5,7,3,3,30,0.0527,0.0262,31,2.461,0.08203333333333333,93.93129770992365,0.49715370018975336
K09,roslin,b,2020-08-18,Vaccinium myrtillus,1,8,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,c,2020-08-19,Betula nana,5,NA,NA,1,3,6,0.1306,0.0612,6,5.594,0.9323333333333333,91.40522875816994,0.4686064318529862
K09,roslin,c,2020-08-19,Empetrum nigrum,45,NA,NA,2,2,30,0.0521,0.0255,30,1.533,0.0511,60.11764705882353,0.4894433781190019
K09,roslin,c,2020-08-18,Festuca ovina,0.25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,c,2020-08-18,Vaccinium uliginosum,2,NA,NA,2,3,6,0.1388,0.0564,6,6.192,1.032,109.7872340425532,0.4063400576368876
K09,roslin,c,2020-08-18,Vaccinium vitis-idaea,2,NA,NA,1,4,8,0.1373,0.0671,8,3.899,0.487375,58.107302533532035,0.4887108521485798
K09,roslin,c,2020-08-18,Anthoxanthum nipponicum,0.5,NA,NA,1,3,3,0.1468,0.0515,4,9.517999999999999,3.1726666666666663,184.8155339805825,0.350817438692098
K09,roslin,c,2020-08-18,Juncus trifidus,0.5,NA,NA,5,3,6,0.0291,0.0105,4,1.719,0.28650000000000003,163.71428571428572,0.36082474226804123
K09,roslin,c,2020-08-18,Juniperus communis,0.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,c,2020-08-18,Linnaea borealis,0.25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,c,2020-08-18,Pedicularis lapponica,0.25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,c,2020-08-19,Phyllodoce caerulea,0.5,NA,NA,3,3,30,0.0527,0.0262,31,2.461,0.08203333333333333,93.93129770992365,0.49715370018975336
K09,roslin,c,2020-08-18,Salix lapponum,0.25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K09,roslin,c,2020-08-18,Vaccinium myrtillus,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Bistorta vivipara,7,2,4,2,3,3,0.2049,0.0486,3,6.4270000000000005,2.1423333333333336,132.24279835390948,0.2371888726207906
K34,roslin,a,2020-08-25,Anthoxanthum nipponicum,0.25,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Alchemilla murbeckiana,4,1,2.5,1,3,3,0.2153,0.0594,3,13.758,4.585999999999999,231.6161616161616,0.2758941012540641
K34,roslin,a,2020-08-25,Antennaria alpina,0.25,0.5,0.5,2,3,6,0.0281,0.0069,6,1.468,0.24466666666666667,212.75362318840578,0.24555160142348753
K34,roslin,a,2020-08-25,Bartsia alpina,2,6,7,2,2,4,0.0883,0.024,8,4.224,1.056,176,0.2718006795016987
K34,roslin,a,2020-08-25,Carex vaginata,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Harrimanella hypnoides,10,0.5,1,3,3,45,0.0044,0.0028,46,0.37,0.008222222222222223,132.14285714285714,0.6363636363636364
K34,roslin,a,2020-08-25,Dactylorhiza viridis,1,1,1,4,1,2,0.0804,0.0149,2,3.194,1.597,214.36241610738256,0.1853233830845771
K34,roslin,a,2020-08-25,Avenella flexuosa,0.5,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Omalotheca supina,3,0.5,0.5,1,3,6,0.0097,0.0026,6,0.5609999999999999,0.09349999999999999,215.76923076923075,0.26804123711340205
K34,roslin,a,2020-08-25,Huperzia selago,0.25,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Cherleria biflora,0.25,0.5,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Phyllodoce caerulea,4,3,4,2,3,30,0.0376,0.0183,30,1.614,0.0538,88.19672131147541,0.48670212765957444
K34,roslin,a,2020-08-25,Salix herbacea,1,1,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Selaginella selaginoides,0.25,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Sibbaldia procumbens,0.5,0.5,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Thalictrum alpinum,3,2,4,2,3,3,0.1035,0.0318,6,5.179,1.7263333333333335,162.86163522012578,0.3072463768115942
K34,roslin,a,2020-08-25,Veronica alpina,0.5,0.5,0.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,a,2020-08-25,Viola biflora,2,0.5,1,2,3,3,0.0916,0.0157,3,6.567,2.189,418.2802547770701,0.17139737991266374
K34,roslin,b,2020-08-25,Betula nana,0.25,4,4,1,1,4,0.0932,0.0329,4,4.896,1.224,148.8145896656535,0.35300429184549353
K34,roslin,b,2020-08-25,Bistorta vivipara,5,3,7,2,3,3,0.2049,0.0486,3,6.4270000000000005,2.1423333333333336,132.24279835390948,0.2371888726207906
K34,roslin,b,2020-08-25,Empetrum nigrum,0.25,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Festuca ovina,0.5,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Anthoxanthum nipponicum,0.5,6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Alchemilla murbeckiana,0.5,1,2.5,1,3,3,0.2153,0.0594,3,13.758,4.585999999999999,231.6161616161616,0.2758941012540641
K34,roslin,b,2020-08-25,Antennaria alpina,2,0.5,2,2,3,6,0.0281,0.0069,6,1.468,0.24466666666666667,212.75362318840578,0.24555160142348753
K34,roslin,b,2020-08-25,Bartsia alpina,1,6,7,2,2,4,0.0883,0.024,8,4.224,1.056,176,0.2718006795016987
K34,roslin,b,2020-08-25,Carex bigelowii,0.25,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Carex vaginata,0.5,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Harrimanella hypnoides,15,0.5,1.5,3,3,45,0.0044,0.0028,46,0.37,0.008222222222222223,132.14285714285714,0.6363636363636364
K34,roslin,b,2020-08-25,Dactylorhiza viridis,0.5,1,3,4,1,2,0.0804,0.0149,2,3.194,1.597,214.36241610738256,0.1853233830845771
K34,roslin,b,2020-08-25,Avenella flexuosa,0.25,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Euphrasia wettsteinii,0.25,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Omalotheca supina,1,0.5,0.5,1,3,6,0.0097,0.0026,6,0.5609999999999999,0.09349999999999999,215.76923076923075,0.26804123711340205
K34,roslin,b,2020-08-25,Hieracium alpinum,0.5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Huperzia selago,0.25,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Juncus trifidus,0.25,8,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Kalmia procumbens,0.25,0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Luzula spicata,0.25,1,2.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Luzula sudetica,0.25,2,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Cherleria biflora,0.25,0.5,0.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Phyllodoce caerulea,3,4,9,2,3,30,0.0376,0.0183,30,1.614,0.0538,88.19672131147541,0.48670212765957444
K34,roslin,b,2020-08-25,Pinguicula alpina,0.5,0.5,0.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Pyrola minor,0.25,0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Ranunculus acris,0.25,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Salix herbacea,0.5,1,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Salix polaris,0.25,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Salix reticulata,0.5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Saussurea alpina,0.25,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Selaginella selaginoides,0.25,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Sibbaldia procumbens,1,0.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Solidago virgaurea,0.5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Taraxacum,0.5,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Thalictrum alpinum,2,2,4,2,3,3,0.1035,0.0318,6,5.179,1.7263333333333335,162.86163522012578,0.3072463768115942
K34,roslin,b,2020-08-25,Trollius europaeus,2,1,2,1,3,3,0.3284,0.0726,4,16.699,5.566333333333334,230.01377410468322,0.22107186358099876
K34,roslin,b,2020-08-25,Vaccinium myrtillus,0.25,8,8,2,3,6,0.0695,0.0263,6,4.627,0.7711666666666667,175.9315589353612,0.37841726618705035
K34,roslin,b,2020-08-25,Veronica alpina,0.25,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
K34,roslin,b,2020-08-25,Viola biflora,1,0.5,1,2,3,3,0.0916,0.0157,3,6.567,2.189,418.2802547770701,0.17139737991266374
K34,roslin,c,2020-08-25,Betula nana,0.25,NA,NA,1,1,4,0.0932,0.0329,4,4.896,1.224,148.8145896656535,0.35300429184549353
K34,roslin,c,2020-08-25,Bistorta vivipara,5,NA,NA,2,3,3,0.2049,0.0486,3,6.4270000000000005,2.1423333333333336,132.24279835390948,0.2371888726207906
